"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2023-09-05T00:00:00.000","4",,"1",,,"3",,,,
"2023-09-04T00:00:00.000","14",,"3",,,"11",,,,
"2023-09-03T00:00:00.000","20",,,,,"20",,,,
"2023-09-02T00:00:00.000","26",,"1",,,"25",,,,
"2023-09-01T00:00:00.000","12",,,,,"11",,"1",,
"2023-08-31T00:00:00.000","15",,,,,"6","9",,,
"2023-08-30T00:00:00.000","22",,"1",,,"7","14",,,
"2023-08-29T00:00:00.000","15",,"1",,,"5","9",,,
"2023-08-28T00:00:00.000","25",,"1",,,"11","13",,,
"2023-08-27T00:00:00.000","25",,,,,"8","15","2",,
"2023-08-26T00:00:00.000","15",,"1",,,"3","11",,,
"2023-08-25T00:00:00.000","19",,,,,"6","12","1",,
"2023-08-24T00:00:00.000","23",,,,,"6","17",,,
"2023-08-23T00:00:00.000","19",,,,,"5","13",,"1",
"2023-08-22T00:00:00.000","27",,"2",,,"9","16",,,
"2023-08-21T00:00:00.000","28",,"2",,,"15","9","1","1",
"2023-08-20T00:00:00.000","17",,"2",,,"5","10",,,
"2023-08-19T00:00:00.000","19",,,,,"10","8",,"1",
"2023-08-18T00:00:00.000","18",,,,,"7","10","1",,
"2023-08-17T00:00:00.000","12",,"2",,,"3","7",,,
"2023-08-16T00:00:00.000","7",,,,,"1","6",,,
"2023-08-15T00:00:00.000","8",,,,,"3","5",,,
"2023-08-14T00:00:00.000","13",,"3",,,"2","6","2",,
"2023-08-13T00:00:00.000","14",,,,,"4","8","2",,
"2023-08-12T00:00:00.000","5",,"1",,,"3","1",,,
"2023-08-11T00:00:00.000","7",,,,,"2","4","1",,
"2023-08-10T00:00:00.000","15",,"1",,,"4","10",,,
"2023-08-09T00:00:00.000","22",,,,,"3","19",,,
"2023-08-08T00:00:00.000","17",,,,,"3","13","1",,
"2023-08-07T00:00:00.000","19",,"1",,,"4","12","1","1",
"2023-08-06T00:00:00.000","17",,"1",,,"1","15",,,
"2023-08-05T00:00:00.000","21",,,,,"6","15",,,
"2023-08-04T00:00:00.000","29",,"2",,,"3","21","2","1",
"2023-08-03T00:00:00.000","18",,,,,,"18",,,
"2023-08-02T00:00:00.000","32",,"1",,,"1","30",,,
"2023-08-01T00:00:00.000","24",,,,,"3","20","1",,
"2023-07-31T00:00:00.000","26",,"1",,,"4","20","1",,
"2023-07-30T00:00:00.000","21",,"2",,,,"19",,,
"2023-07-29T00:00:00.000","25",,,,,"3","22",,,
"2023-07-28T00:00:00.000","33",,"3",,,,"30",,,
"2023-07-27T00:00:00.000","12",,"1",,,,"11",,,
"2023-07-26T00:00:00.000","27",,"6",,,"1","19","1",,
"2023-07-25T00:00:00.000","23",,"2",,,"2","19",,,
"2023-07-24T00:00:00.000","18",,"2",,,,"14","1","1",
"2023-07-23T00:00:00.000","16",,"3",,,,"13",,,
"2023-07-22T00:00:00.000","11",,"2",,,,"9",,,
"2023-07-21T00:00:00.000","20",,"4",,,,"16",,,
"2023-07-20T00:00:00.000","11",,"2",,,,"9",,,
"2023-07-19T00:00:00.000","21",,"1",,,,"20",,,
"2023-07-18T00:00:00.000","22",,"7",,,,"14","1",,
"2023-07-17T00:00:00.000","20",,"3",,,,"16",,"1",
"2023-07-16T00:00:00.000","18",,"3",,,,"15",,,
"2023-07-15T00:00:00.000","10",,"2",,,,"8",,,
"2023-07-14T00:00:00.000","21",,"7",,,,"14",,,
"2023-07-13T00:00:00.000","19",,"4",,,,"14",,"1",
"2023-07-12T00:00:00.000","20",,"2",,,,"17","1",,
"2023-07-11T00:00:00.000","17",,"3",,,,"14",,,
"2023-07-10T00:00:00.000","20",,"5",,,,"14",,"1",
"2023-07-09T00:00:00.000","16",,"2",,,,"14",,,
"2023-07-08T00:00:00.000","19",,"6",,,,"12","1",,
"2023-07-07T00:00:00.000","17",,"1",,,,"15","1",,
"2023-07-06T00:00:00.000","12",,"6",,,,"6",,,
"2023-07-05T00:00:00.000","18",,"4",,,,"13","1",,
"2023-07-04T00:00:00.000","14",,"5",,,,"9",,,
"2023-07-03T00:00:00.000","22",,"5",,,,"17",,,
"2023-07-02T00:00:00.000","10",,"1",,,,"9",,,
"2023-07-01T00:00:00.000","16",,"5",,,,"11",,,
"2023-06-30T00:00:00.000","15",,"5",,,,"10",,,
"2023-06-29T00:00:00.000","9",,"3",,,,"5","1",,
"2023-06-28T00:00:00.000","12",,"2",,,,"10",,,
"2023-06-27T00:00:00.000","14",,"3",,,,"11",,,
"2023-06-26T00:00:00.000","17",,"4",,,,"13",,,
"2023-06-25T00:00:00.000","20",,"4",,,,"16",,,
"2023-06-24T00:00:00.000","12",,"2",,,,"10",,,
"2023-06-23T00:00:00.000","16",,"4",,,,"12",,,
"2023-06-22T00:00:00.000","10",,"2",,,,"8",,,
"2023-06-21T00:00:00.000","13",,"1",,,,"12",,,
"2023-06-20T00:00:00.000","13",,"2",,,,"11",,,
"2023-06-19T00:00:00.000","22",,"1",,,,"21",,,
"2023-06-18T00:00:00.000","11",,,,,,"11",,,
"2023-06-17T00:00:00.000","19",,"1",,,,"17","1",,
"2023-06-16T00:00:00.000","25",,,,,,"25",,,
"2023-06-15T00:00:00.000","23",,,,,,"23",,,
"2023-06-14T00:00:00.000","20",,"3",,,,"16",,"1",
"2023-06-13T00:00:00.000","21",,"1",,,,"19","1",,
"2023-06-12T00:00:00.000","29",,"1",,,,"25",,"3",
"2023-06-11T00:00:00.000","22",,"2",,,,"18","2",,
"2023-06-10T00:00:00.000","16",,"1",,,,"15",,,
"2023-06-09T00:00:00.000","18",,"1",,,,"17",,,
"2023-06-08T00:00:00.000","25",,"2",,,,"23",,,
"2023-06-07T00:00:00.000","26",,"1",,,,"25",,,
"2023-06-06T00:00:00.000","29",,"5",,,,"22","1","1",
"2023-06-05T00:00:00.000","38",,"3",,,,"34","1",,
"2023-06-04T00:00:00.000","30",,"2",,,,"28",,,
"2023-06-03T00:00:00.000","30",,"1",,,,"29",,,
"2023-06-02T00:00:00.000","33",,,,,,"33",,,
"2023-06-01T00:00:00.000","38",,"1",,,,"36",,"1",
"2023-05-31T00:00:00.000","42",,,,,,"40","2",,
"2023-05-30T00:00:00.000","39",,"3",,,,"35",,"1",
"2023-05-29T00:00:00.000","48",,,,,,"47","1",,
"2023-05-28T00:00:00.000","41",,,,,,"39","2",,
"2023-05-27T00:00:00.000","50",,,,,,"50",,,
"2023-05-26T00:00:00.000","49",,,,,,"47",,"2",
"2023-05-25T00:00:00.000","44",,"1",,,,"43",,,
"2023-05-24T00:00:00.000","62",,"1",,,,"60","1",,
"2023-05-23T00:00:00.000","65",,"1",,,,"64",,,
"2023-05-22T00:00:00.000","59",,"2",,,,"55",,"2",
"2023-05-21T00:00:00.000","51",,"1",,,,"48","1","1",
"2023-05-20T00:00:00.000","53",,,,,,"53",,,
"2023-05-19T00:00:00.000","44",,,,,,"44",,,
"2023-05-18T00:00:00.000","49",,"2",,,,"45","1","1",
"2023-05-17T00:00:00.000","57",,,,,,"54","2","1",
"2023-05-16T00:00:00.000","61",,"1",,,,"59",,"1",
"2023-05-15T00:00:00.000","73",,"4",,,,"68","1",,
"2023-05-14T00:00:00.000","59",,"1",,,,"58",,,
"2023-05-13T00:00:00.000","53",,"1",,,,"50","2",,
"2023-05-12T00:00:00.000","56",,,,,,"54","1","1",
"2023-05-11T00:00:00.000","56",,"1",,,,"55",,,
"2023-05-10T00:00:00.000","56",,"3",,,,"50","1","2",
"2023-05-09T00:00:00.000","72",,"1",,,,"70","1",,
"2023-05-08T00:00:00.000","80",,"1",,,,"76","1","2",
"2023-05-07T00:00:00.000","86",,"2",,,,"84",,,
"2023-05-06T00:00:00.000","69",,,,,,"69",,,
"2023-05-05T00:00:00.000","97",,,,,,"92","3","2",
"2023-05-04T00:00:00.000","92",,"4",,,,"86","1","1",
"2023-05-03T00:00:00.000","93",,"3",,,,"87","2","1",
"2023-05-02T00:00:00.000","104",,"2",,,,"99","2","1",
"2023-05-01T00:00:00.000","108",,"1",,,,"106","1",,
"2023-04-30T00:00:00.000","107",,"1",,,,"102","2","1","1"
"2023-04-29T00:00:00.000","119",,"4",,,,"113",,"2",
"2023-04-28T00:00:00.000","81",,"2",,,,"77","2",,
"2023-04-27T00:00:00.000","106",,,,,,"104","1","1",
"2023-04-26T00:00:00.000","130",,"1",,,,"123","3","3",
"2023-04-25T00:00:00.000","111",,"1",,,,"109",,"1",
"2023-04-24T00:00:00.000","129",,"2",,,,"122","4","1",
"2023-04-23T00:00:00.000","119",,"2",,,,"116","1",,
"2023-04-22T00:00:00.000","98",,"1",,,,"93",,"4",
"2023-04-21T00:00:00.000","119",,"7",,,,"107","2","3",
"2023-04-20T00:00:00.000","78",,,,,,"76","1","1",
"2023-04-19T00:00:00.000","128",,,,,,"119","3","6",
"2023-04-18T00:00:00.000","139",,,"1",,,"133","3","2",
"2023-04-17T00:00:00.000","137",,"3",,,,"133","1",,
"2023-04-16T00:00:00.000","139",,"1",,,,"136","2",,
"2023-04-15T00:00:00.000","140",,"4",,,,"132","2","2",
"2023-04-14T00:00:00.000","139",,"4",,,,"131","3","1",
"2023-04-13T00:00:00.000","151",,"2",,,,"147","2",,
